id,estado,antiguedad,modalidad,value
874,Puebla,31.0,b.	Distancia,Distribución de documentación y material electoral
875,Campeche,29.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
876,Guanajuato,7.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
877,México,19.0,b.	Distancia,Construcción de la cartografía electoral
878,Ciudad de México,24.0,b.	Distancia,Desarrollo de normativa
879,Hidalgo,22.0,a.	Presencial,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
880,México,5.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
881,México,4.0,a.	Presencial,Construcción de la cartografía electoral
882,Baja California,29.0,b.	Distancia,Administración de base de datos
883,Veracruz,11.0,b.	Distancia,Impartición de capacitación
884,Michoacán,22.0,b.	Distancia,Atención de asuntos jurídicos
885,Jalisco,31.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
886,Querétaro,14.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
887,Sinaloa,11.0,b.	Distancia,"Diseño, mejora y producción de documentación electoral"
888,Ciudad de México,7.0,b.	Distancia,Selección de personal
889,México,25.0,c.	Mixta,Administración de tecnología de información y comunicaciones
890,Veracruz,11.0,b.	Distancia,Registro de actos de partidos y agrupaciones políticas
891,Ciudad de México,5.0,a.	Presencial,Diseño de materiales de capacitación
892,México,25.0,b.	Distancia,Diseño de programas de capacitación
893,Ciudad de México,30.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
894,Ciudad de México,10.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
895,Hidalgo,10.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
896,México,12.0,a.	Presencial,Administración de base de datos
897,México,10.0,b.	Distancia,Construcción de la cartografía electoral
898,Ciudad de México,28.0,b.	Distancia,Selección de personal
899,Sinaloa,19.0,b.	Distancia,Administración de base de datos
900,México,25.0,a.	Presencial,Selección de personal
901,Puebla,4.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
902,México,28.0,b.	Distancia,"Diseño, mejora y producción de documentación electoral"
903,Chiapas,16.0,c.	Mixta,Impartición de capacitación
904,Morelos,28.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
905,San Luis Potosí,1.0,c.	Mixta,Administración de base de datos
906,Veracruz,29.0,c.	Mixta,Impartición de capacitación
907,Ciudad de México,30.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
908,Sonora,19.0,a.	Presencial,Impartición de capacitación
909,Colima,19.0,a.	Presencial,Atención de asuntos jurídicos
910,Sinaloa,0.3,b.	Distancia,Distribución de documentación y material electoral
911,Oaxaca,7.0,c.	Mixta,Atención de asuntos jurídicos
912,Oaxaca,10.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
913,Oaxaca,3.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
914,Oaxaca,23.0,c.	Mixta,Administración de base de datos
915,Oaxaca,13.0,c.	Mixta,Administración de base de datos
916,Oaxaca,11.0,a.	Presencial,Desarrollo de normativa
917,Oaxaca,13.0,a.	Presencial,Diseño de materiales de capacitación
918,Oaxaca,10.0,b.	Distancia,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
919,Oaxaca,1.5,a.	Presencial,Diseño de materiales de capacitación
920,Oaxaca,1.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
921,Veracruz,31.0,b.	Distancia,Registro de actos de partidos y agrupaciones políticas
922,Oaxaca,21.0,c.	Mixta,Impartición de capacitación
923,Coahuila,7.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
924,Oaxaca,10.0,c.	Mixta,Administración de tecnología de información y comunicaciones
925,Oaxaca,16.0,a.	Presencial,Procesamiento informático
926,Oaxaca,13.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
927,Ciudad de México,10.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
928,Puebla,8.0,b.	Distancia,Construcción de la cartografía electoral
929,Oaxaca,20.0,b.	Distancia,"Diseño, mejora y producción de documentación electoral"
930,Oaxaca,17.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
931,Oaxaca,20.0,a.	Presencial,Aplicación de metodología estadística y/o demográfica
932,Jalisco,14.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
933,Chihuahua,14.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
934,Colima,13.0,b.	Distancia,Construcción de la cartografía electoral
935,Oaxaca,1.0,a.	Presencial,"Diseño, mejora y producción de material electoral"
936,Coahuila,10.0,b.	Distancia,Desarrollo de sistemas
937,Oaxaca,4.0,b.	Distancia,Construcción de la cartografía electoral
938,Campeche,47.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
939,Oaxaca,6.0,c.	Mixta,"Planeación de planes, programas y proyectos"
940,Oaxaca,11.0,c.	Mixta,Diseño de programas de capacitación
941,Hidalgo,23.0,b.	Distancia,Administración de tecnología de información y comunicaciones
942,Oaxaca,2.5,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
943,Colima,15.0,b.	Distancia,"Planeación de planes, programas y proyectos"
944,Veracruz,16.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
945,México,31.0,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
946,Chiapas,30.0,b.	Distancia,Construcción de la cartografía electoral
947,Michoacán,7.0,b.	Distancia,Fiscalización a los sujetos obligados
948,Sonora,13.0,b.	Distancia,Administración de base de datos
949,Chiapas,15.0,b.	Distancia,Operación de módulos de atención ciudadana
950,San Luis Potosí,7.0,b.	Distancia,Impartición de capacitación
951,México,1.0,c.	Mixta,"Planeación de planes, programas y proyectos"
952,Nuevo León,6.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
953,Morelos,21.0,a.	Presencial,Operación de las comisiones de vigilancia del registro federal de electores
954,México,16.0,c.	Mixta,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
955,México,28.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
956,Veracruz,16.0,b.	Distancia,"Evaluación de planes, programas y proyectos"
957,Nuevo León,20.0,c.	Mixta,Verificación de sesiones de los órganos desconcentrados
958,Puebla,5.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
959,Colima,7.0,c.	Mixta,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
960,Campeche,5.0,b.	Distancia,Impartición de capacitación
961,Ciudad de México,11.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
962,Colima,27.0,c.	Mixta,"Diseño, mejora y producción de documentación electoral"
963,Campeche,11.0,c.	Mixta,Administración de tecnología de información y comunicaciones
964,Oaxaca,30.0,a.	Presencial,Operación de módulos de atención ciudadana
965,México,17.0,b.	Distancia,Administración de tecnología de información y comunicaciones
966,Oaxaca,26.0,a.	Presencial,Operación de módulos de atención ciudadana
967,San Luis Potosí,8.0,b.	Distancia,Ejecución de los procedimientos para administrar los tiempos del estado en materia de radio y televisión
968,Ciudad de México,29.0,b.	Distancia,Impartición de capacitación
969,Guanajuato,28.0,b.	Distancia,Diseño de materiales de capacitación
970,Oaxaca,5.0,a.	Presencial,Operación de las comisiones de vigilancia del registro federal de electores
971,México,1.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
972,Ciudad de México,21.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
973,Ciudad de México,6.0,b.	Distancia,Impartición de capacitación
974,Oaxaca,10.0,a.	Presencial,Atención de asuntos jurídicos
975,México,15.0,a.	Presencial,Administración de base de datos
976,Quintana Roo,4.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
977,Veracruz,29.0,b.	Distancia,"Diseño, mejora y producción de documentación electoral"
978,México,22.0,c.	Mixta,Verificación del padrón electoral
979,Ciudad de México,1.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
980,Ciudad de México,28.0,b.	Distancia,Operación de módulos de atención ciudadana
981,México,19.0,b.	Distancia,Administración de base de datos
982,Quintana Roo,12.0,b.	Distancia,Procesamiento informático
983,Jalisco,2.0,b.	Distancia,"Planeación de planes, programas y proyectos"
984,México,1.0,c.	Mixta,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
985,Sinaloa,7.0,a.	Presencial,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
986,México,22.0,c.	Mixta,Selección de personal
987,Puebla,10.0,b.	Distancia,Impartición de capacitación
988,Puebla,13.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
989,Nuevo León,28.0,b.	Distancia,Impartición de capacitación
990,Querétaro,30.0,b.	Distancia,Desarrollo de normativa
991,Guanajuato,16.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
992,Puebla,25.0,c.	Mixta,Registro de actos de partidos y agrupaciones políticas
993,Ciudad de México,27.0,b.	Distancia,Construcción de la cartografía electoral
994,Jalisco,32.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
995,Ciudad de México,1.0,b.	Distancia,Registro de actos de partidos y agrupaciones políticas
996,Ciudad de México,10.0,b.	Distancia,Selección de personal
997,Campeche,7.0,c.	Mixta,Impartición de capacitación
998,Hidalgo,10.0,c.	Mixta,Almacenamiento de documentación y material electoral
999,Oaxaca,1.5,c.	Mixta,Aplicación de metodología estadística y/o demográfica
1000,Chihuahua,28.0,b.	Distancia,Administración de tecnología de información y comunicaciones
1001,Ciudad de México,21.0,b.	Distancia,Almacenamiento de documentación y material electoral
1002,Tamaulipas,4.0,c.	Mixta,Administración de base de datos
1003,Ciudad de México,1.0,b.	Distancia,Construcción de la cartografía electoral
1004,Sinaloa,1.5,c.	Mixta,Impartición de capacitación
1005,Veracruz,29.0,b.	Distancia,Administración de los tiempos del estado en radio y televisión
1006,Jalisco,22.0,c.	Mixta,Impartición de capacitación
1007,Tamaulipas,31.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
1008,Chiapas,2.5,a.	Presencial,"Aplicación y gestión de recursos humanos, materiales y financieros"
1009,Ciudad de México,26.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
1010,Puebla,31.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
1011,Tlaxcala,2.0,b.	Distancia,Reincorporación al padrón electoral
1012,Campeche,27.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1013,Zacatecas,25.0,c.	Mixta,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
1014,Coahuila,26.0,c.	Mixta,Administración de base de datos
1015,México,1.0,b.	Distancia,Desarrollo de normativa
1016,Jalisco,13.0,c.	Mixta,Selección de personal
1017,Jalisco,29.0,c.	Mixta,Impartición de capacitación
1018,México,11.0,b.	Distancia,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
1019,Jalisco,15.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
1020,Tlaxcala,29.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
1021,Colima,30.0,b.	Distancia,Construcción de la cartografía electoral
1022,Tlaxcala,4.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
1023,Nuevo León,28.0,a.	Presencial,Administración de base de datos
1024,Jalisco,1.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1025,Yucatán,4.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
1026,México,31.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
1027,México,13.0,c.	Mixta,Almacenamiento de documentación y material electoral
1028,Guerrero,2.0,a.	Presencial,Operación de módulos de atención ciudadana
1029,Yucatán,0.3,c.	Mixta,Desarrollo de sistemas
1030,México,31.0,b.	Distancia,Impartición de capacitación
1031,Hidalgo,26.0,b.	Distancia,Depuración del padrón electoral
1032,Oaxaca,16.0,b.	Distancia,Impartición de capacitación
1033,México,14.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
1034,Oaxaca,10.0,c.	Mixta,Administración de tecnología de información y comunicaciones
1035,Tlaxcala,21.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
1036,Chiapas,25.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
1037,Sinaloa,1.5,c.	Mixta,Depuración del padrón electoral
1038,Guanajuato,1.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
1039,Nuevo León,31.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
1040,Morelos,26.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
1041,Jalisco,28.0,c.	Mixta,Atención de asuntos jurídicos
1042,San Luis Potosí,31.0,c.	Mixta,Depuración del padrón electoral
1043,Ciudad de México,22.0,b.	Distancia,Depuración del padrón electoral
1044,Ciudad de México,31.0,b.	Distancia,Construcción de la cartografía electoral
1045,Ciudad de México,31.0,b.	Distancia,Depuración del padrón electoral
1046,Hidalgo,28.0,c.	Mixta,Selección de personal
1047,Ciudad de México,5.0,c.	Mixta,Construcción de la cartografía electoral
1048,Hidalgo,31.0,b.	Distancia,Almacenamiento de documentación y material electoral
1049,Jalisco,30.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
1050,Baja California,17.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
1051,México,2.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
1052,Oaxaca,4.0,c.	Mixta,"Diseño, mejora y producción de documentación electoral"
1053,Jalisco,1.6,b.	Distancia,Operación de módulos de atención ciudadana
1054,Ciudad de México,25.0,b.	Distancia,Administración de tecnología de información y comunicaciones
1055,Ciudad de México,1.0,b.	Distancia,Atención de asuntos jurídicos
1056,Tamaulipas,20.0,a.	Presencial,Depuración del padrón electoral
1057,Ciudad de México,1.0,b.	Distancia,Desarrollo de normativa
1058,Yucatán,11.0,a.	Presencial,Impartición de capacitación
1059,Ciudad de México,30.0,c.	Mixta,Administración de base de datos
1060,Ciudad de México,1.0,b.	Distancia,Atención de asuntos jurídicos
1061,Ciudad de México,7.0,c.	Mixta,Administración de base de datos
1062,Jalisco,28.0,b.	Distancia,Diseño de materiales de capacitación
1063,México,28.0,c.	Mixta,Atención de asuntos jurídicos
1064,Tamaulipas,5.0,c.	Mixta,Almacenamiento de documentación y material electoral
1065,México,25.0,b.	Distancia,Diseño de programas de capacitación
1066,Nuevo León,10.0,c.	Mixta,Administración de base de datos
1067,México,31.0,b.	Distancia,Administración de tecnología de información y comunicaciones
1068,Durango,1.0,c.	Mixta,Actualización del padrón electoral y credencialización de los ciudadanos
1069,Michoacán,0.0,b.	Distancia,Distribución de documentación y material electoral
1070,Chiapas,1.0,c.	Mixta,Selección de personal
1071,Michoacán,29.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
1072,Tamaulipas,4.0,c.	Mixta,Administración de base de datos
1073,Nayarit,1.5,b.	Distancia,Atención de asuntos jurídicos
1074,Tamaulipas,29.0,b.	Distancia,Selección de personal
1075,Guerrero,28.0,c.	Mixta,Impartición de capacitación
1076,Chihuahua,7.0,c.	Mixta,Impartición de capacitación
1077,Chihuahua,22.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
1078,México,1.0,c.	Mixta,Selección de personal
1079,Quintana Roo,16.0,b.	Distancia,Administración de tecnología de información y comunicaciones
1080,Nayarit,5.0,b.	Distancia,Fiscalización a los sujetos obligados
1081,Veracruz,2.5,b.	Distancia,Registro de actos de partidos y agrupaciones políticas
1082,Puebla,4.5,b.	Distancia,Diseño de materiales de capacitación
1083,Michoacán,13.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
1084,Zacatecas,30.0,b.	Distancia,Administración de base de datos
1085,Jalisco,30.0,c.	Mixta,Diseño de materiales de capacitación
1086,Quintana Roo,19.0,b.	Distancia,Depuración del padrón electoral
1087,México,28.0,b.	Distancia,Diseño de programas de capacitación
1088,Michoacán,1.0,b.	Distancia,Depuración del padrón electoral
1089,Michoacán,28.0,b.	Distancia,Diseño de materiales de capacitación
1090,Guanajuato,1.0,c.	Mixta,Impartición de capacitación
1091,Guerrero,19.0,c.	Mixta,Desarrollo de sistemas
1092,Ciudad de México,13.0,c.	Mixta,Operación de módulos de atención ciudadana
1093,Tlaxcala,28.0,c.	Mixta,Atención de asuntos jurídicos
1094,Tlaxcala,22.0,b.	Distancia,Atención de asuntos jurídicos
1095,San Luis Potosí,4.0,b.	Distancia,"Planeación de planes, programas y proyectos"
1096,Tlaxcala,27.0,c.	Mixta,Selección de personal
1097,Tlaxcala,32.0,b.	Distancia,"Planeación de planes, programas y proyectos"
1098,Sonora,7.0,b.	Distancia,Fiscalización a los sujetos obligados
1099,Ciudad de México,29.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1100,Veracruz,10.0,b.	Distancia,Almacenamiento de documentación y material electoral
1101,Ciudad de México,29.0,b.	Distancia,Desarrollo de normativa
1102,Guerrero,7.0,b.	Distancia,Atención de asuntos jurídicos
1103,Nayarit,13.0,c.	Mixta,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
1104,Nuevo León,0.4,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
1105,México,11.0,c.	Mixta,Administración de tecnología de información y comunicaciones
1106,México,22.0,b.	Distancia,Distribución de documentación y material electoral
1107,Nuevo León,11.0,b.	Distancia,Selección de personal
1108,Nuevo León,14.0,b.	Distancia,Atención de asuntos jurídicos
1109,México,4.0,b.	Distancia,Diseño de materiales de capacitación
1110,Tamaulipas,15.0,c.	Mixta,Construcción de la cartografía electoral
1111,Zacatecas,6.0,a.	Presencial,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
1112,Chiapas,1.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
1113,Nuevo León,31.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
1114,Veracruz,11.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
1115,Jalisco,31.0,c.	Mixta,Distribución de documentación y material electoral
1116,Guanajuato,4.0,a.	Presencial,Diseño de materiales de capacitación
1117,Ciudad de México,6.0,c.	Mixta,Administración de base de datos
1118,México,5.0,c.	Mixta,Desarrollo de sistemas
1119,Chiapas,13.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
1120,Guanajuato,31.0,b.	Distancia,"Planeación de planes, programas y proyectos"
1121,Puebla,10.0,c.	Mixta,Administración de base de datos
1122,Guerrero,2.0,c.	Mixta,Atención de asuntos jurídicos
1123,México,18.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
1124,Nayarit,28.0,b.	Distancia,Desarrollo de sistemas
1125,Nayarit,9.0,b.	Distancia,Atención de asuntos jurídicos
1126,Sonora,7.0,c.	Mixta,Diseño de materiales de capacitación
1127,Ciudad de México,17.0,b.	Distancia,Administración de base de datos
1128,Nuevo León,32.0,b.	Distancia,Administración de base de datos
1129,Guanajuato,28.0,c.	Mixta,Diseño de programas de capacitación
1130,Nayarit,1.0,a.	Presencial,Depuración del padrón electoral
1131,Querétaro,22.0,b.	Distancia,Operación de módulos de atención ciudadana
1132,Nayarit,10.0,a.	Presencial,Selección de personal
1133,México,29.0,c.	Mixta,Administración de centros de cómputo
1134,Sinaloa,10.0,b.	Distancia,Diseño de materiales de capacitación
1135,México,2.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
1136,Nayarit,12.0,c.	Mixta,Impartición de capacitación
1137,Chiapas,32.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
1138,Nayarit,32.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
1139,Baja California Sur,12.0,c.	Mixta,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
1140,Chiapas,8.0,b.	Distancia,Verificación de sesiones de los órganos desconcentrados
1141,Nayarit,29.0,b.	Distancia,Administración de tecnología de información y comunicaciones
1142,Guanajuato,28.0,c.	Mixta,"Planeación de planes, programas y proyectos"
1143,Nayarit,7.0,b.	Distancia,Atención de asuntos jurídicos
1144,Yucatán,25.0,c.	Mixta,Administración de base de datos
1145,Chihuahua,2.0,c.	Mixta,Selección de personal
1146,Ciudad de México,4.0,b.	Distancia,"Planeación de planes, programas y proyectos"
1147,Jalisco,15.0,a.	Presencial,Aplicación de metodología estadística y/o demográfica
1148,Quintana Roo,1.0,a.	Presencial,Operación de las comisiones de vigilancia del registro federal de electores
1149,Michoacán,9.0,a.	Presencial,Construcción de la cartografía electoral
1150,México,29.0,c.	Mixta,Selección de personal
1151,Veracruz,13.0,b.	Distancia,Diseño de materiales de capacitación
1152,Nayarit,1.0,c.	Mixta,Impartición de capacitación
1153,Ciudad de México,20.0,b.	Distancia,Operación de módulos de atención ciudadana
1154,Baja California Sur,7.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
1155,Tamaulipas,1.0,c.	Mixta,"Diseño, mejora y producción de documentación electoral"
1156,Guerrero,28.0,b.	Distancia,Operación de módulos de atención ciudadana
1157,Veracruz,8.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
1158,México,8.0,b.	Distancia,Diseño de programas de capacitación
1159,Veracruz,9.0,b.	Distancia,Depuración del padrón electoral
1160,Guerrero,22.0,b.	Distancia,Aplicación de metodología estadística y/o demográfica
1161,Guanajuato,13.0,a.	Presencial,"Seguimiento de planes, programas y proyectos"
1162,Zacatecas,4.0,b.	Distancia,Administración de base de datos
1163,Chiapas,11.0,b.	Distancia,Administración de base de datos
1164,Ciudad de México,13.0,a.	Presencial,Operación de las comisiones de vigilancia del registro federal de electores
1165,Michoacán,5.0,b.	Distancia,Atención de asuntos jurídicos
1166,Puebla,29.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
1167,Veracruz,25.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1168,Baja California,1.0,a.	Presencial,Actualización del padrón electoral y credencialización de los ciudadanos
1169,Yucatán,25.0,b.	Distancia,Administración de los tiempos del estado en radio y televisión
1170,Veracruz,4.0,c.	Mixta,Reincorporación al padrón electoral
1171,Ciudad de México,28.0,b.	Distancia,Registro de actos de partidos y agrupaciones políticas
1172,Guerrero,5.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
1173,Veracruz,1.0,b.	Distancia,Construcción de la cartografía electoral
1174,Ciudad de México,0.0,b.	Distancia,Diseño de programas de capacitación
1175,Puebla,17.0,c.	Mixta,Operación de las comisiones de vigilancia del registro federal de electores
1176,México,30.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1177,México,21.0,b.	Distancia,Distribución de documentación y material electoral
1178,Michoacán,25.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
1179,Chiapas,22.0,b.	Distancia,Operación de módulos de atención ciudadana
1180,México,29.0,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
1181,Sonora,7.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1182,Nayarit,1.0,c.	Mixta,Selección de personal
1183,Querétaro,24.0,c.	Mixta,Almacenamiento de documentación y material electoral
1184,Ciudad de México,13.0,c.	Mixta,Impartición de capacitación
1185,Chiapas,28.0,b.	Distancia,Impartición de capacitación
1186,Guerrero,1.5,b.	Distancia,Construcción de la cartografía electoral
1187,Zacatecas,30.0,c.	Mixta,Diseño de materiales de capacitación
1188,Tlaxcala,25.0,b.	Distancia,Administración de base de datos
1189,Nayarit,4.0,a.	Presencial,"Planeación de planes, programas y proyectos"
1190,Guanajuato,31.0,b.	Distancia,Diseño de materiales de capacitación
1191,Jalisco,2.0,c.	Mixta,Procesamiento informático
1192,México,22.0,b.	Distancia,Administración de base de datos
1193,México,20.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1194,Jalisco,10.0,c.	Mixta,Atención de asuntos jurídicos
1195,Michoacán,1.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
1196,Nuevo León,13.0,b.	Distancia,Diseño de materiales de capacitación
1197,Guanajuato,29.0,c.	Mixta,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
1198,Nayarit,22.0,b.	Distancia,Diseño de programas de capacitación
1199,Jalisco,10.0,b.	Distancia,Administración de los tiempos del estado en radio y televisión
1200,Aguascalientes,31.0,b.	Distancia,Administración de base de datos
1201,Ciudad de México,17.0,c.	Mixta,"Evaluación de planes, programas y proyectos"
1202,Hidalgo,30.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1203,Michoacán,23.0,a.	Presencial,Actualización del padrón electoral y credencialización de los ciudadanos
1204,México,9.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
1205,Nuevo León,39.0,b.	Distancia,Verificación del padrón electoral
1206,Chihuahua,32.0,b.	Distancia,"Planeación de planes, programas y proyectos"
1207,Campeche,28.0,c.	Mixta,Diseño de materiales de capacitación
1208,México,26.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
1209,Ciudad de México,16.0,c.	Mixta,"Seguimiento de planes, programas y proyectos"
1210,México,13.0,a.	Presencial,Selección de personal
1211,Michoacán,29.0,b.	Distancia,Distribución de documentación y material electoral
1212,Jalisco,31.0,b.	Distancia,Construcción de la cartografía electoral
1213,Coahuila,2.6,b.	Distancia,Atención de asuntos jurídicos
1214,Guanajuato,10.0,a.	Presencial,Construcción de la cartografía electoral
1215,Yucatán,30.0,c.	Mixta,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
1216,Nayarit,23.0,b.	Distancia,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
1217,Durango,10.0,a.	Presencial,"Ubicación, equipamiento e instalación de casillas o su equivalente en los distintos tipos de elección o procesos de participación ciudadana"
1218,Nuevo León,12.0,a.	Presencial,Integración de mesas directivas de casilla o su equivalente en los distintos tipos de elección o procesos de participación ciudadana
1219,Nayarit,10.0,c.	Mixta,Diseño de materiales de capacitación
1220,Coahuila,23.0,a.	Presencial,Atención de asuntos jurídicos
1221,Yucatán,7.0,c.	Mixta,Fiscalización a los sujetos obligados
1222,Ciudad de México,11.0,c.	Mixta,"Aplicación y gestión de recursos humanos, materiales y financieros"
1223,México,30.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
1224,Sonora,31.0,b.	Distancia,"Planeación de planes, programas y proyectos"
1225,Chihuahua,22.0,c.	Mixta,Selección de personal
1226,Veracruz,19.0,a.	Presencial,Distribución de documentación y material electoral
1227,Ciudad de México,31.0,b.	Distancia,Actualización del padrón electoral y credencialización de los ciudadanos
1228,Querétaro,28.0,c.	Mixta,"Planeación de planes, programas y proyectos"
1229,Michoacán,13.0,c.	Mixta,Construcción de la cartografía electoral
1230,Jalisco,31.0,b.	Distancia,"Evaluación de planes, programas y proyectos"
1231,Veracruz,18.0,b.	Distancia,Selección de personal
1232,Sonora,7.0,a.	Presencial,Aplicación de metodología estadística y/o demográfica
1233,Tamaulipas,29.0,a.	Presencial,Selección de personal
